"","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Season","Match_Date","Home_Win","Away_Win","Draw"
"2283","Charlton","Newcastle",2,2,"D","1998-99",1999-01-17,0,0,1
"2284","Aston Villa","Everton",3,0,"H","1998-99",1999-01-18,1,0,0
"2285","Blackburn","Tottenham",1,1,"D","1998-99",1999-01-30,0,0,1
"2286","Coventry","Liverpool",2,1,"H","1998-99",1999-01-30,1,0,0
"2287","Everton","Nott'm Forest",0,1,"A","1998-99",1999-01-30,0,1,0
"2288","Middlesbrough","Leicester",0,0,"D","1998-99",1999-01-30,0,0,1
"2289","Newcastle","Aston Villa",2,1,"H","1998-99",1999-01-30,1,0,0
"2290","Sheffield Weds","Derby",0,1,"A","1998-99",1999-01-30,0,1,0
"2291","Southampton","Leeds",3,0,"H","1998-99",1999-01-30,1,0,0
"2292","Wimbledon","West Ham",0,0,"D","1998-99",1999-01-30,0,0,1
"2293","Arsenal","Chelsea",1,0,"H","1998-99",1999-01-31,1,0,0
"2294","Charlton","Man United",0,1,"A","1998-99",1999-01-31,0,1,0
"2295","Man United","Derby",1,0,"H","1998-99",1999-02-02,1,0,0
"2296","Aston Villa","Blackburn",1,3,"A","1998-99",1999-02-06,0,1,0
"2297","Chelsea","Southampton",1,0,"H","1998-99",1999-02-06,1,0,0
"2298","Leeds","Newcastle",0,1,"A","1998-99",1999-02-06,0,1,0
"2299","Leicester","Sheffield Weds",0,2,"A","1998-99",1999-02-06,0,1,0
"2300","Liverpool","Middlesbrough",3,1,"H","1998-99",1999-02-06,1,0,0
"2301","Nott'm Forest","Man United",1,8,"A","1998-99",1999-02-06,0,1,0
"2302","Tottenham","Coventry",0,0,"D","1998-99",1999-02-06,0,0,1
"2303","West Ham","Arsenal",0,4,"A","1998-99",1999-02-06,0,1,0
"2304","Derby","Everton",2,1,"H","1998-99",1999-02-07,1,0,0
"2305","Charlton","Wimbledon",2,0,"H","1998-99",1999-02-08,1,0,0
"2306","Charlton","Liverpool",1,0,"H","1998-99",1999-02-13,1,0,0
"2307","West Ham","Nott'm Forest",2,1,"H","1998-99",1999-02-13,1,0,0
"2308","Aston Villa","Leeds",1,2,"A","1998-99",1999-02-17,0,1,0
"2309","Chelsea","Blackburn",1,1,"D","1998-99",1999-02-17,0,0,1
"2310","Everton","Middlesbrough",5,0,"H","1998-99",1999-02-17,1,0,0
"2311","Man United","Arsenal",1,1,"D","1998-99",1999-02-17,0,0,1
"2312","Newcastle","Coventry",4,1,"H","1998-99",1999-02-17,1,0,0
"2313","Arsenal","Leicester",5,0,"H","1998-99",1999-02-20,1,0,0
"2314","Blackburn","Sheffield Weds",1,4,"A","1998-99",1999-02-20,0,1,0
"2315","Coventry","Man United",0,1,"A","1998-99",1999-02-20,0,1,0
"2316","Derby","Charlton",0,2,"A","1998-99",1999-02-20,0,1,0
"2317","Leeds","Everton",1,0,"H","1998-99",1999-02-20,1,0,0
"2318","Liverpool","West Ham",2,2,"D","1998-99",1999-02-20,0,0,1
"2319","Middlesbrough","Tottenham",0,0,"D","1998-99",1999-02-20,0,0,1
"2320","Nott'm Forest","Chelsea",1,3,"A","1998-99",1999-02-20,0,1,0
"2321","Southampton","Newcastle",2,1,"H","1998-99",1999-02-20,1,0,0
"2322","Wimbledon","Aston Villa",0,0,"D","1998-99",1999-02-21,0,0,1
"2323","Aston Villa","Coventry",1,4,"A","1998-99",1999-02-27,0,1,0
"2324","Charlton","Nott'm Forest",0,0,"D","1998-99",1999-02-27,0,0,1
"2325","Chelsea","Liverpool",2,1,"H","1998-99",1999-02-27,1,0,0
"2326","Everton","Wimbledon",1,1,"D","1998-99",1999-02-27,0,0,1
"2327","Man United","Southampton",2,1,"H","1998-99",1999-02-27,1,0,0
"2328","Sheffield Weds","Middlesbrough",3,1,"H","1998-99",1999-02-27,1,0,0
"2329","Tottenham","Derby",1,1,"D","1998-99",1999-02-27,0,0,1
"2330","West Ham","Blackburn",2,0,"H","1998-99",1999-02-27,1,0,0
"2331","Newcastle","Arsenal",1,1,"D","1998-99",1999-02-28,0,0,1
"2332","Leicester","Leeds",1,2,"A","1998-99",1999-03-01,0,1,0
"2333","Tottenham","Southampton",3,0,"H","1998-99",1999-03-02,1,0,0
"2334","Sheffield Weds","Wimbledon",1,2,"A","1998-99",1999-03-03,0,1,0
"2335","Coventry","Charlton",2,1,"H","1998-99",1999-03-06,1,0,0
"2336","Southampton","West Ham",1,0,"H","1998-99",1999-03-06,1,0,0
"2337","Wimbledon","Leicester",0,1,"A","1998-99",1999-03-06,0,1,0
"2338","Arsenal","Sheffield Weds",3,0,"H","1998-99",1999-03-09,1,0,0
"2339","Blackburn","Everton",1,2,"A","1998-99",1999-03-10,0,1,0
"2340","Derby","Aston Villa",2,1,"H","1998-99",1999-03-10,1,0,0
"2341","Leeds","Tottenham",2,0,"H","1998-99",1999-03-10,1,0,0
"2342","Nott'm Forest","Newcastle",1,2,"A","1998-99",1999-03-10,0,1,0
"2343","Chelsea","West Ham",0,1,"A","1998-99",1999-03-13,0,1,0
"2344","Coventry","Blackburn",1,1,"D","1998-99",1999-03-13,0,0,1
"2345","Derby","Liverpool",3,2,"H","1998-99",1999-03-13,1,0,0
"2346","Everton","Arsenal",0,2,"A","1998-99",1999-03-13,0,1,0
"2347","Leicester","Charlton",1,1,"D","1998-99",1999-03-13,0,0,1
"2348","Newcastle","Man United",1,2,"A","1998-99",1999-03-13,0,1,0
"2349","Sheffield Weds","Leeds",0,2,"A","1998-99",1999-03-13,0,1,0
"2350","Tottenham","Aston Villa",1,0,"H","1998-99",1999-03-13,1,0,0
"2351","Wimbledon","Nott'm Forest",1,3,"A","1998-99",1999-03-13,0,1,0
"2352","Middlesbrough","Southampton",3,0,"H","1998-99",1999-03-14,1,0,0
"2353","Arsenal","Coventry",2,0,"H","1998-99",1999-03-20,1,0,0
"2354","Blackburn","Wimbledon",3,1,"H","1998-99",1999-03-20,1,0,0
"2355","Leeds","Derby",4,1,"H","1998-99",1999-03-20,1,0,0
"2356","Nott'm Forest","Middlesbrough",1,2,"A","1998-99",1999-03-20,0,1,0
"2357","Southampton","Sheffield Weds",1,0,"H","1998-99",1999-03-20,1,0,0
"2358","West Ham","Newcastle",2,0,"H","1998-99",1999-03-20,1,0,0
"2359","Aston Villa","Chelsea",0,3,"A","1998-99",1999-03-21,0,1,0
"2360","Man United","Everton",3,1,"H","1998-99",1999-03-21,1,0,0
"2361","Aston Villa","West Ham",0,0,"D","1998-99",1999-04-02,0,0,1
"2362","Blackburn","Middlesbrough",0,0,"D","1998-99",1999-04-03,0,0,1
"2363","Charlton","Chelsea",0,1,"A","1998-99",1999-04-03,0,1,0
"2364","Derby","Newcastle",3,4,"A","1998-99",1999-04-03,0,1,0
"2365","Leeds","Nott'm Forest",3,1,"H","1998-99",1999-04-03,1,0,0
"2366","Liverpool","Everton",3,2,"H","1998-99",1999-04-03,1,0,0
"2367","Sheffield Weds","Coventry",1,2,"A","1998-99",1999-04-03,0,1,0
"2368","Southampton","Arsenal",0,0,"D","1998-99",1999-04-03,0,0,1
"2369","Tottenham","Leicester",0,2,"A","1998-99",1999-04-03,0,1,0
"2370","Wimbledon","Man United",1,1,"D","1998-99",1999-04-03,0,0,1
"2371","Coventry","Southampton",1,0,"H","1998-99",1999-04-05,1,0,0
"2372","Everton","Sheffield Weds",1,2,"A","1998-99",1999-04-05,0,1,0
"2373","Middlesbrough","Wimbledon",3,1,"H","1998-99",1999-04-05,1,0,0
"2374","Newcastle","Tottenham",1,1,"D","1998-99",1999-04-05,0,0,1
"2375","Nott'm Forest","Liverpool",2,2,"D","1998-99",1999-04-05,0,0,1
"2376","West Ham","Charlton",0,1,"A","1998-99",1999-04-05,0,1,0
"2377","Arsenal","Blackburn",1,0,"H","1998-99",1999-04-06,1,0,0
"2378","Leicester","Aston Villa",2,2,"D","1998-99",1999-04-06,0,0,1
"2379","Aston Villa","Southampton",3,0,"H","1998-99",1999-04-10,1,0,0
"2380","Derby","Nott'm Forest",1,0,"H","1998-99",1999-04-10,1,0,0
"2381","Leicester","West Ham",0,0,"D","1998-99",1999-04-10,0,0,1
"2382","Middlesbrough","Charlton",2,0,"H","1998-99",1999-04-10,1,0,0
"2383","Everton","Coventry",2,0,"H","1998-99",1999-04-11,1,0,0
"2384","Wimbledon","Chelsea",1,2,"A","1998-99",1999-04-11,0,1,0
"2385","Leeds","Liverpool",0,0,"D","1998-99",1999-04-12,0,0,1
"2386","Middlesbrough","Chelsea",0,0,"D","1998-99",1999-04-14,0,0,1
"2387","Charlton","Leeds",1,1,"D","1998-99",1999-04-17,0,0,1
"2388","Coventry","Middlesbrough",1,2,"A","1998-99",1999-04-17,0,1,0
"2389","Liverpool","Aston Villa",0,1,"A","1998-99",1999-04-17,0,1,0
"2390","Man United","Sheffield Weds",3,0,"H","1998-99",1999-04-17,1,0,0
"2391","Newcastle","Everton",1,3,"A","1998-99",1999-04-17,0,1,0
"2392","Nott'm Forest","Tottenham",0,1,"A","1998-99",1999-04-17,0,1,0
"2393","Southampton","Blackburn",3,3,"D","1998-99",1999-04-17,0,0,1
"2394","West Ham","Derby",5,1,"H","1998-99",1999-04-17,1,0,0
"2395","Chelsea","Leicester",2,2,"D","1998-99",1999-04-18,0,0,1
"2396","Arsenal","Wimbledon",5,1,"H","1998-99",1999-04-19,1,0,0
"2397","Charlton","Tottenham",1,4,"A","1998-99",1999-04-20,0,1,0
"2398","Liverpool","Leicester",0,1,"A","1998-99",1999-04-21,0,1,0
"2399","Sheffield Weds","Newcastle",1,1,"D","1998-99",1999-04-21,0,0,1
"2400","Aston Villa","Nott'm Forest",2,0,"H","1998-99",1999-04-24,1,0,0
"2401","Blackburn","Liverpool",1,3,"A","1998-99",1999-04-24,0,1,0
"2402","Derby","Southampton",0,0,"D","1998-99",1999-04-24,0,0,1
"2403","Everton","Charlton",4,1,"H","1998-99",1999-04-24,1,0,0
"2404","Leicester","Coventry",1,0,"H","1998-99",1999-04-24,1,0,0
"2405","Middlesbrough","Arsenal",1,6,"A","1998-99",1999-04-24,0,1,0
"2406","Tottenham","West Ham",1,2,"A","1998-99",1999-04-24,0,1,0
"2407","Wimbledon","Newcastle",1,1,"D","1998-99",1999-04-24,0,0,1
"2408","Leeds","Man United",1,1,"D","1998-99",1999-04-25,0,0,1
"2409","Sheffield Weds","Chelsea",0,0,"D","1998-99",1999-04-25,0,0,1
"2410","Charlton","Blackburn",0,0,"D","1998-99",1999-05-01,0,0,1
"2411","Chelsea","Everton",3,1,"H","1998-99",1999-05-01,1,0,0
"2412","Coventry","Wimbledon",2,1,"H","1998-99",1999-05-01,1,0,0
"2413","Liverpool","Tottenham",3,2,"H","1998-99",1999-05-01,1,0,0
"2414","Man United","Aston Villa",2,1,"H","1998-99",1999-05-01,1,0,0
"2415","Newcastle","Middlesbrough",1,1,"D","1998-99",1999-05-01,0,0,1
"2416","Nott'm Forest","Sheffield Weds",2,0,"H","1998-99",1999-05-01,1,0,0
"2417","Southampton","Leicester",2,1,"H","1998-99",1999-05-01,1,0,0
"2418","West Ham","Leeds",1,5,"A","1998-99",1999-05-01,0,1,0
"2419","Arsenal","Derby",1,0,"H","1998-99",1999-05-02,1,0,0
"2420","Chelsea","Leeds",1,0,"H","1998-99",1999-05-05,1,0,0
"2421","Leicester","Derby",1,2,"A","1998-99",1999-05-05,0,1,0
"2422","Liverpool","Man United",2,2,"D","1998-99",1999-05-05,0,0,1
"2423","Tottenham","Arsenal",1,3,"A","1998-99",1999-05-05,0,1,0
"2424","Aston Villa","Charlton",3,4,"A","1998-99",1999-05-08,0,1,0
"2425","Blackburn","Nott'm Forest",1,2,"A","1998-99",1999-05-08,0,1,0
"2426","Derby","Coventry",0,0,"D","1998-99",1999-05-08,0,0,1
"2427","Everton","West Ham",6,0,"H","1998-99",1999-05-08,1,0,0
"2428","Leicester","Newcastle",2,0,"H","1998-99",1999-05-08,1,0,0
"2429","Sheffield Weds","Liverpool",1,0,"H","1998-99",1999-05-08,1,0,0
"2430","Wimbledon","Southampton",0,2,"A","1998-99",1999-05-08,0,1,0
"2431","Middlesbrough","Man United",0,1,"A","1998-99",1999-05-09,0,1,0
"2432","Tottenham","Chelsea",2,2,"D","1998-99",1999-05-10,0,0,1
"2433","Leeds","Arsenal",1,0,"H","1998-99",1999-05-11,1,0,0
"2434","Blackburn","Man United",0,0,"D","1998-99",1999-05-12,0,0,1
"2435","Arsenal","Aston Villa",1,0,"H","1998-99",1999-05-16,1,0,0
"2436","Charlton","Sheffield Weds",0,1,"A","1998-99",1999-05-16,0,1,0
"2437","Chelsea","Derby",2,1,"H","1998-99",1999-05-16,1,0,0
"2438","Coventry","Leeds",2,2,"D","1998-99",1999-05-16,0,0,1
"2439","Liverpool","Wimbledon",3,0,"H","1998-99",1999-05-16,1,0,0
"2440","Man United","Tottenham",2,1,"H","1998-99",1999-05-16,1,0,0
"2441","Newcastle","Blackburn",1,1,"D","1998-99",1999-05-16,0,0,1
"2442","Nott'm Forest","Leicester",1,0,"H","1998-99",1999-05-16,1,0,0
"2443","Southampton","Everton",2,0,"H","1998-99",1999-05-16,1,0,0
"2444","West Ham","Middlesbrough",4,0,"H","1998-99",1999-05-16,1,0,0
"2445","Arsenal","Leicester",2,1,"H","1999-00",1999-08-07,1,0,0
"2446","Chelsea","Sunderland",4,0,"H","1999-00",1999-08-07,1,0,0
"2447","Coventry","Southampton",0,1,"A","1999-00",1999-08-07,0,1,0
"2448","Leeds","Derby",0,0,"D","1999-00",1999-08-07,0,0,1
"2449","Middlesbrough","Bradford",0,1,"A","1999-00",1999-08-07,0,1,0
"2450","Newcastle","Aston Villa",0,1,"A","1999-00",1999-08-07,0,1,0
"2451","Sheffield Weds","Liverpool",1,2,"A","1999-00",1999-08-07,0,1,0
"2452","Watford","Wimbledon",2,3,"A","1999-00",1999-08-07,0,1,0
"2453","West Ham","Tottenham",1,0,"H","1999-00",1999-08-07,1,0,0
"2454","Everton","Man United",1,1,"D","1999-00",1999-08-08,0,0,1
"2455","Tottenham","Newcastle",3,1,"H","1999-00",1999-08-09,1,0,0
"2456","Derby","Arsenal",1,2,"A","1999-00",1999-08-10,0,1,0
"2457","Sunderland","Watford",2,0,"H","1999-00",1999-08-10,1,0,0
"2458","Wimbledon","Middlesbrough",2,3,"A","1999-00",1999-08-10,0,1,0
"2459","Aston Villa","Everton",3,0,"H","1999-00",1999-08-11,1,0,0
"2460","Leicester","Coventry",1,0,"H","1999-00",1999-08-11,1,0,0
"2461","Man United","Sheffield Weds",4,0,"H","1999-00",1999-08-11,1,0,0
"2462","Southampton","Leeds",0,3,"A","1999-00",1999-08-11,0,1,0
"2463","Bradford","Sheffield Weds",1,1,"D","1999-00",1999-08-14,0,0,1
"2464","Derby","Middlesbrough",1,3,"A","1999-00",1999-08-14,0,1,0
"2465","Leicester","Chelsea",2,2,"D","1999-00",1999-08-14,0,0,1
"2466","Liverpool","Watford",0,1,"A","1999-00",1999-08-14,0,1,0
"2467","Man United","Leeds",2,0,"H","1999-00",1999-08-14,1,0,0
"2468","Sunderland","Arsenal",0,0,"D","1999-00",1999-08-14,0,0,1
"2469","Tottenham","Everton",3,2,"H","1999-00",1999-08-14,1,0,0
"2470","Wimbledon","Coventry",1,1,"D","1999-00",1999-08-14,0,0,1
"2471","Southampton","Newcastle",4,2,"H","1999-00",1999-08-15,1,0,0
"2472","Aston Villa","West Ham",2,2,"D","1999-00",1999-08-16,0,0,1
"2473","Chelsea","Aston Villa",1,0,"H","1999-00",1999-08-21,1,0,0
"2474","Coventry","Derby",2,0,"H","1999-00",1999-08-21,1,0,0
"2475","Everton","Southampton",4,1,"H","1999-00",1999-08-21,1,0,0
"2476","Leeds","Sunderland",2,1,"H","1999-00",1999-08-21,1,0,0
"2477","Middlesbrough","Liverpool",1,0,"H","1999-00",1999-08-21,1,0,0
"2478","Newcastle","Wimbledon",3,3,"D","1999-00",1999-08-21,0,0,1
"2479","Sheffield Weds","Tottenham",1,2,"A","1999-00",1999-08-21,0,1,0
"2480","Watford","Bradford",1,0,"H","1999-00",1999-08-21,1,0,0
"2481","West Ham","Leicester",2,1,"H","1999-00",1999-08-21,1,0,0
"2482","Arsenal","Man United",1,2,"A","1999-00",1999-08-22,0,1,0
"2483","Leeds","Liverpool",1,2,"A","1999-00",1999-08-23,0,1,0
"2484","Middlesbrough","Leicester",0,3,"A","1999-00",1999-08-24,0,1,0
"2485","Watford","Aston Villa",0,1,"A","1999-00",1999-08-24,0,1,0
"2486","Arsenal","Bradford",2,0,"H","1999-00",1999-08-25,1,0,0
"2487","Coventry","Man United",1,2,"A","1999-00",1999-08-25,0,1,0
"2488","Everton","Wimbledon",4,0,"H","1999-00",1999-08-25,1,0,0
"2489","Newcastle","Sunderland",1,2,"A","1999-00",1999-08-25,0,1,0
"2490","Sheffield Weds","Derby",0,2,"A","1999-00",1999-08-25,0,1,0
"2491","Aston Villa","Middlesbrough",1,0,"H","1999-00",1999-08-28,1,0,0
"2492","Bradford","West Ham",0,3,"A","1999-00",1999-08-28,0,1,0
"2493","Derby","Everton",1,0,"H","1999-00",1999-08-28,1,0,0
"2494","Liverpool","Arsenal",2,0,"H","1999-00",1999-08-28,1,0,0
"2495","Southampton","Sheffield Weds",2,0,"H","1999-00",1999-08-28,1,0,0
"2496","Tottenham","Leeds",1,2,"A","1999-00",1999-08-28,0,1,0
"2497","Wimbledon","Chelsea",0,1,"A","1999-00",1999-08-28,0,1,0
"2498","Sunderland","Coventry",1,1,"D","1999-00",1999-08-29,0,0,1
"2499","Leicester","Watford",1,0,"H","1999-00",1999-08-30,1,0,0
"2500","Man United","Newcastle",5,1,"H","1999-00",1999-08-30,1,0,0
"2501","Arsenal","Aston Villa",3,1,"H","1999-00",1999-09-11,1,0,0
"2502","Chelsea","Newcastle",1,0,"H","1999-00",1999-09-11,1,0,0
"2503","Coventry","Leeds",3,4,"A","1999-00",1999-09-11,0,1,0
"2504","Liverpool","Man United",2,3,"A","1999-00",1999-09-11,0,1,0
"2505","Middlesbrough","Southampton",3,2,"H","1999-00",1999-09-11,1,0,0
"2506","Sheffield Weds","Everton",0,2,"A","1999-00",1999-09-11,0,1,0
"2507","Sunderland","Leicester",2,0,"H","1999-00",1999-09-11,1,0,0
"2508","West Ham","Watford",1,0,"H","1999-00",1999-09-11,1,0,0
"2509","Wimbledon","Derby",2,2,"D","1999-00",1999-09-11,0,0,1
"2510","Bradford","Tottenham",1,1,"D","1999-00",1999-09-12,0,0,1
"2511","Aston Villa","Bradford",1,0,"H","1999-00",1999-09-18,1,0,0
"2512","Derby","Sunderland",0,5,"A","1999-00",1999-09-18,0,1,0
"2513","Leicester","Liverpool",2,2,"D","1999-00",1999-09-18,0,0,1
"2514","Man United","Wimbledon",1,1,"D","1999-00",1999-09-18,0,0,1
"2515","Southampton","Arsenal",0,1,"A","1999-00",1999-09-18,0,1,0
"2516","Watford","Chelsea",1,0,"H","1999-00",1999-09-18,1,0,0
"2517","Everton","West Ham",1,0,"H","1999-00",1999-09-19,1,0,0
"2518","Leeds","Middlesbrough",2,0,"H","1999-00",1999-09-19,1,0,0
"2519","Newcastle","Sheffield Weds",8,0,"H","1999-00",1999-09-19,1,0,0
"2520","Tottenham","Coventry",3,2,"H","1999-00",1999-09-19,1,0,0
"2521","Arsenal","Watford",1,0,"H","1999-00",1999-09-25,1,0,0
"2522","Coventry","West Ham",1,0,"H","1999-00",1999-09-25,1,0,0
"2523","Derby","Bradford",0,1,"A","1999-00",1999-09-25,0,1,0
"2524","Leeds","Newcastle",3,2,"H","1999-00",1999-09-25,1,0,0
"2525","Leicester","Aston Villa",3,1,"H","1999-00",1999-09-25,1,0,0
"2526","Man United","Southampton",3,3,"D","1999-00",1999-09-25,0,0,1
"2527","Middlesbrough","Chelsea",0,1,"A","1999-00",1999-09-25,0,1,0
"2528","Sunderland","Sheffield Weds",1,0,"H","1999-00",1999-09-25,1,0,0
"2529","Wimbledon","Tottenham",1,1,"D","1999-00",1999-09-26,0,0,1
"2530","Liverpool","Everton",0,1,"A","1999-00",1999-09-27,0,1,0
"2531","Aston Villa","Liverpool",0,0,"D","1999-00",1999-10-02,0,0,1
"2532","Bradford","Sunderland",0,4,"A","1999-00",1999-10-02,0,1,0
"2533","Everton","Coventry",1,1,"D","1999-00",1999-10-02,0,0,1
"2534","Sheffield Weds","Wimbledon",5,1,"H","1999-00",1999-10-02,1,0,0
"2535","Chelsea","Man United",5,0,"H","1999-00",1999-10-03,1,0,0
"2536","Newcastle","Middlesbrough",2,1,"H","1999-00",1999-10-03,1,0,0
"2537","Tottenham","Leicester",2,3,"A","1999-00",1999-10-03,0,1,0
"2538","Watford","Leeds",1,2,"A","1999-00",1999-10-03,0,1,0
"2539","West Ham","Arsenal",2,1,"H","1999-00",1999-10-03,1,0,0
"2540","Southampton","Derby",3,3,"D","1999-00",1999-10-04,0,0,1
"2541","Arsenal","Everton",4,1,"H","1999-00",1999-10-16,1,0,0
"2542","Coventry","Newcastle",4,1,"H","1999-00",1999-10-16,1,0,0
"2543","Derby","Tottenham",0,1,"A","1999-00",1999-10-16,0,1,0
"2544","Leeds","Sheffield Weds",2,0,"H","1999-00",1999-10-16,1,0,0
"2545","Leicester","Southampton",2,1,"H","1999-00",1999-10-16,1,0,0
"2546","Liverpool","Chelsea",1,0,"H","1999-00",1999-10-16,1,0,0
"2547","Man United","Watford",4,1,"H","1999-00",1999-10-16,1,0,0
"2548","Wimbledon","Bradford",3,2,"H","1999-00",1999-10-16,1,0,0
"2549","Middlesbrough","West Ham",2,0,"H","1999-00",1999-10-17,1,0,0
"2550","Sunderland","Aston Villa",2,1,"H","1999-00",1999-10-18,1,0,0
"2551","Aston Villa","Wimbledon",1,1,"D","1999-00",1999-10-23,0,0,1
"2552","Bradford","Leicester",3,1,"H","1999-00",1999-10-23,1,0,0
"2553","Chelsea","Arsenal",2,3,"A","1999-00",1999-10-23,0,1,0
"2554","Sheffield Weds","Coventry",0,0,"D","1999-00",1999-10-23,0,0,1
"2555","Southampton","Liverpool",1,1,"D","1999-00",1999-10-23,0,0,1
"2556","Tottenham","Man United",3,1,"H","1999-00",1999-10-23,1,0,0
"2557","Everton","Leeds",4,4,"D","1999-00",1999-10-24,0,0,1
"2558","Watford","Middlesbrough",1,3,"A","1999-00",1999-10-24,0,1,0
"2559","West Ham","Sunderland",1,1,"D","1999-00",1999-10-24,0,0,1
"2560","Newcastle","Derby",2,0,"H","1999-00",1999-10-25,1,0,0
"2561","Liverpool","West Ham",1,0,"H","1999-00",1999-10-27,1,0,0
"2562","Arsenal","Newcastle",0,0,"D","1999-00",1999-10-30,0,0,1
"2563","Derby","Chelsea",3,1,"H","1999-00",1999-10-30,1,0,0
"2564","Leeds","West Ham",1,0,"H","1999-00",1999-10-30,1,0,0
"2565","Leicester","Sheffield Weds",3,0,"H","1999-00",1999-10-30,1,0,0
"2566","Man United","Aston Villa",3,0,"H","1999-00",1999-10-30,1,0,0
"2567","Middlesbrough","Everton",2,1,"H","1999-00",1999-10-30,1,0,0
"2568","Wimbledon","Southampton",1,1,"D","1999-00",1999-10-30,0,0,1
"2569","Coventry","Watford",4,0,"H","1999-00",1999-10-31,1,0,0
"2570","Sunderland","Tottenham",2,1,"H","1999-00",1999-10-31,1,0,0
"2571","Liverpool","Bradford",3,1,"H","1999-00",1999-11-01,1,0,0
"2572","Aston Villa","Southampton",0,1,"A","1999-00",1999-11-06,0,1,0
"2573","Bradford","Coventry",1,1,"D","1999-00",1999-11-06,0,0,1
"2574","Liverpool","Derby",2,0,"H","1999-00",1999-11-06,1,0,0
"2575","Man United","Leicester",2,0,"H","1999-00",1999-11-06,1,0,0
"2576","Middlesbrough","Sunderland",1,1,"D","1999-00",1999-11-06,0,0,1
"2577","Sheffield Weds","Watford",2,2,"D","1999-00",1999-11-06,0,0,1
"2578","Chelsea","West Ham",0,0,"D","1999-00",1999-11-07,0,0,1
"2579","Newcastle","Everton",1,1,"D","1999-00",1999-11-07,0,0,1
"2580","Tottenham","Arsenal",2,1,"H","1999-00",1999-11-07,1,0,0
"2581","Wimbledon","Leeds",2,0,"H","1999-00",1999-11-07,1,0,0
"2582","Arsenal","Middlesbrough",5,1,"H","1999-00",1999-11-20,1,0,0
"2583","Derby","Man United",1,2,"A","1999-00",1999-11-20,0,1,0
"2584","Everton","Chelsea",1,1,"D","1999-00",1999-11-20,0,0,1
"2585","Leeds","Bradford",2,1,"H","1999-00",1999-11-20,1,0,0
"2586","Leicester","Wimbledon",2,1,"H","1999-00",1999-11-20,1,0,0
"2587","Southampton","Tottenham",0,1,"A","1999-00",1999-11-20,0,1,0
"2588","Sunderland","Liverpool",0,2,"A","1999-00",1999-11-20,0,1,0
"2589","Watford","Newcastle",1,1,"D","1999-00",1999-11-20,0,0,1
"2590","West Ham","Sheffield Weds",4,3,"H","1999-00",1999-11-21,1,0,0
"2591","Coventry","Aston Villa",2,1,"H","1999-00",1999-11-22,1,0,0
"2592","Coventry","Leicester",0,1,"A","1999-00",1999-11-27,0,1,0
"2593","Everton","Aston Villa",0,0,"D","1999-00",1999-11-27,0,0,1
"2594","Middlesbrough","Wimbledon",0,0,"D","1999-00",1999-11-27,0,0,1
"2595","Watford","Sunderland",2,3,"A","1999-00",1999-11-27,0,1,0
"2596","West Ham","Liverpool",1,0,"H","1999-00",1999-11-27,1,0,0
"2597","Arsenal","Derby",2,1,"H","1999-00",1999-11-28,1,0,0
"2598","Chelsea","Bradford",1,0,"H","1999-00",1999-11-28,1,0,0
"2599","Leeds","Southampton",1,0,"H","1999-00",1999-11-28,1,0,0
"2600","Newcastle","Tottenham",2,1,"H","1999-00",1999-11-28,1,0,0
"2601","Aston Villa","Newcastle",0,1,"A","1999-00",1999-12-04,0,1,0
"2602","Bradford","Middlesbrough",1,1,"D","1999-00",1999-12-04,0,0,1
"2603","Leicester","Arsenal",0,3,"A","1999-00",1999-12-04,0,1,0
"2604","Man United","Everton",5,1,"H","1999-00",1999-12-04,1,0,0
"2605","Southampton","Coventry",0,0,"D","1999-00",1999-12-04,0,0,1
"2606","Sunderland","Chelsea",4,1,"H","1999-00",1999-12-04,1,0,0
"2607","Wimbledon","Watford",5,0,"H","1999-00",1999-12-04,1,0,0
"2608","Derby","Leeds",0,1,"A","1999-00",1999-12-05,0,1,0
"2609","Liverpool","Sheffield Weds",4,1,"H","1999-00",1999-12-05,1,0,0
"2610","Tottenham","West Ham",0,0,"D","1999-00",1999-12-06,0,0,1
"2611","Arsenal","Wimbledon",1,1,"D","1999-00",1999-12-18,0,0,1
"2612","Aston Villa","Sheffield Weds",2,1,"H","1999-00",1999-12-18,1,0,0
"2613","Bradford","Newcastle",2,0,"H","1999-00",1999-12-18,1,0,0
"2614","Leicester","Derby",0,1,"A","1999-00",1999-12-18,0,1,0
"2615","Liverpool","Coventry",2,0,"H","1999-00",1999-12-18,1,0,0
"2616","Middlesbrough","Tottenham",2,1,"H","1999-00",1999-12-18,1,0,0
"2617","Sunderland","Southampton",2,0,"H","1999-00",1999-12-18,1,0,0
"2618","Watford","Everton",1,3,"A","1999-00",1999-12-18,0,1,0
"2619","West Ham","Man United",2,4,"A","1999-00",1999-12-18,0,1,0
"2620","Chelsea","Leeds",0,2,"A","1999-00",1999-12-19,0,1,0
"2621","Coventry","Arsenal",3,2,"H","1999-00",1999-12-26,1,0,0
"2622","Derby","Aston Villa",0,2,"A","1999-00",1999-12-26,0,1,0
"2623","Everton","Sunderland",5,0,"H","1999-00",1999-12-26,1,0,0
"2624","Leeds","Leicester",2,1,"H","1999-00",1999-12-26,1,0,0
"2625","Man United","Bradford",4,0,"H","1999-00",1999-12-26,1,0,0
"2626","Newcastle","Liverpool",2,2,"D","1999-00",1999-12-26,0,0,1
