"","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Season","Match_Date","Home_Win","Away_Win","Draw"
"81","Ipswich","Aston Villa",1,2,"A","1993-94",1993-09-18,0,1,0
"82","Leeds","Sheffield United",2,1,"H","1993-94",1993-09-18,1,0,0
"83","QPR","Norwich",2,2,"D","1993-94",1993-09-18,0,0,1
"84","Sheffield Weds","Southampton",2,0,"H","1993-94",1993-09-18,1,0,0
"85","Swindon","Newcastle",2,2,"D","1993-94",1993-09-18,0,0,1
"86","Tottenham","Oldham",5,0,"H","1993-94",1993-09-18,1,0,0
"87","Man United","Arsenal",1,0,"H","1993-94",1993-09-19,1,0,0
"88","Wimbledon","Man City",1,0,"H","1993-94",1993-09-20,1,0,0
"89","Arsenal","Southampton",1,0,"H","1993-94",1993-09-25,1,0,0
"90","Blackburn","Sheffield Weds",1,1,"D","1993-94",1993-09-25,0,0,1
"91","Chelsea","Liverpool",1,0,"H","1993-94",1993-09-25,1,0,0
"92","Coventry","Leeds",0,2,"A","1993-94",1993-09-25,0,1,0
"93","Everton","Norwich",1,5,"A","1993-94",1993-09-25,0,1,0
"94","Man United","Swindon",4,2,"H","1993-94",1993-09-25,1,0,0
"95","Newcastle","West Ham",2,0,"H","1993-94",1993-09-25,1,0,0
"96","Oldham","Aston Villa",1,1,"D","1993-94",1993-09-25,0,0,1
"97","Sheffield United","Man City",0,1,"A","1993-94",1993-09-25,0,1,0
"98","Ipswich","Tottenham",2,2,"D","1993-94",1993-09-26,0,0,1
"99","Wimbledon","QPR",1,1,"D","1993-94",1993-09-27,0,0,1
"100","Aston Villa","Newcastle",0,2,"A","1993-94",1993-10-02,0,1,0
"101","Leeds","Wimbledon",4,0,"H","1993-94",1993-10-02,1,0,0
"102","Liverpool","Arsenal",0,0,"D","1993-94",1993-10-02,0,0,1
"103","Norwich","Coventry",1,0,"H","1993-94",1993-10-02,1,0,0
"104","QPR","Ipswich",3,0,"H","1993-94",1993-10-02,1,0,0
"105","Sheffield Weds","Man United",2,3,"A","1993-94",1993-10-02,0,1,0
"106","Southampton","Sheffield United",3,3,"D","1993-94",1993-10-02,0,0,1
"107","Swindon","Blackburn",1,3,"A","1993-94",1993-10-02,0,1,0
"108","West Ham","Chelsea",1,0,"H","1993-94",1993-10-02,1,0,0
"109","Tottenham","Everton",3,2,"H","1993-94",1993-10-03,1,0,0
"110","Man City","Oldham",1,1,"D","1993-94",1993-10-04,0,0,1
"111","Arsenal","Man City",0,0,"D","1993-94",1993-10-16,0,0,1
"112","Chelsea","Norwich",1,2,"A","1993-94",1993-10-16,0,1,0
